timestamp,attack_type,severity,details
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=1)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 94%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=2)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 98%"
2026-03-26 22:02:10,Anomalous Traffic (ML),Medium,"IsolationForest flagged this packet as an anomaly"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=3)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=4)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=5)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 96%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=6)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=7)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 96%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=8)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=9)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=10)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=11)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=12)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=13)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=14)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=15)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=16)"
2026-03-26 22:02:10,ML-Detected Attack (deauth_attack),High,"RandomForest classified packet as 'deauth_attack' with confidence 100%"
2026-03-26 22:02:10,Deauthentication Attack,High,"MAC 90:86:59:E5:C9:6A sent excessive deauth frames (window ratio=1.00, count=17)"
